,City,Country,Date,Latitude,Longitude,Max Temp(f),Humidity,Wind Speed,Cloudiness
0,Port Alfred,ZA,1613331959,-33.5906,26.891,72.0,93,4.0,96
1,Hilo,US,1613331663,19.7297,-155.09,70.0,83,5.75,90
2,Yashkul',RU,1613332535,46.1711,45.3435,29.57,86,9.86,99
3,Santiago de Cao,PE,1613332535,-7.9589,-79.2392,71.6,88,11.5,75
4,Hecun,CN,1613332535,36.5333,114.1111,34.03,87,5.88,23
5,Souillac,MU,1613331959,-20.5167,57.5167,77.0,88,5.86,40
6,Punta Arenas,CL,1613332536,-53.15,-70.9167,51.8,58,20.71,75
7,Stornoway,GB,1613332536,58.2093,-6.3865,48.99,81,42.57,75
8,Saint George,US,1613331942,37.1041,-113.5841,48.2,34,8.05,1
9,Torbay,CA,1613332536,47.6666,-52.7314,28.0,63,4.61,75
10,Kavieng,PG,1613331946,-2.5744,150.7967,82.29,77,7.78,65
11,Busselton,AU,1613332537,-33.65,115.3333,69.01,92,4.05,49
12,Yar-Sale,RU,1613331973,66.8333,70.8333,-25.92,85,11.83,100
13,Yangi Marg`ilon,UZ,1613332537,40.4272,71.7189,41.0,70,6.91,100
14,East London,ZA,1613332537,-33.0153,27.9116,75.69,78,12.28,100
15,Vaini,TO,1613332537,-21.2,-175.2,78.8,94,4.61,20
16,Plastun,RU,1613332537,44.7561,136.2939,22.89,89,4.41,100
17,Sulangan,PH,1613332537,11.1373,123.7228,77.31,91,16.82,100
18,Butaritari,KI,1613331940,3.0707,172.7902,80.31,79,20.38,64
19,Saldanha,ZA,1613331954,-33.0117,17.9442,68.0,73,6.91,71
20,Mikhaylovka,RU,1613332539,50.06,43.2379,10.0,84,7.0,77
21,Norman Wells,CA,1613331941,65.282,-126.8329,-23.8,76,3.44,40
22,Arraial do Cabo,BR,1613331906,-22.9661,-42.0278,89.6,66,11.5,40
23,Nioro,GM,1613332540,13.35,-15.75,87.48,12,5.7,33
24,Rikitea,PF,1613332540,-23.1203,-134.9692,80.2,76,16.08,38
25,Geraldton,AU,1613332540,-28.7667,114.6,69.8,83,6.91,20
26,Leningradskiy,RU,1613331957,69.3833,178.4167,-16.55,84,6.02,0
27,Jacmel,HT,1613332540,18.2342,-72.5347,89.6,48,17.27,43
28,Nyurba,RU,1613332540,63.2842,118.3319,-29.6,84,5.01,71
29,Bengkulu,ID,1613331993,-3.8004,102.2655,76.33,88,4.47,89
30,Am Timan,TD,1613332541,11.0297,20.2827,81.55,18,2.59,0
31,Esperance,AU,1613331958,-33.8667,121.9,62.6,72,13.8,53
32,Chui,UY,1613332541,-33.6971,-53.4616,77.27,79,5.95,96
33,Biak,ID,1613331975,-0.9131,122.8766,76.8,79,1.81,100
34,Cap Malheureux,MU,1613332339,-19.9842,57.6142,77.0,79,4.0,72
35,Goderich,CA,1613331979,43.7501,-81.7165,19.4,79,6.91,100
36,Saskylakh,RU,1613332541,71.9167,114.0833,-21.12,86,12.1,100
37,Olafsvik,IS,1613332368,64.8945,-23.7142,41.13,79,15.66,27
38,Darhan,MN,1613332404,49.4867,105.9228,-3.73,85,1.99,99
39,Samarai,PG,1613331970,-10.6167,150.6667,80.74,76,2.55,61
40,Ust-Maya,RU,1613332352,60.4167,134.5333,-11.27,89,2.26,99
