,City,Country,Date,Latitude,Longitude,Max Temp(f),Humidity,Wind Speed,Cloudiness
0,Avarua,CK,1613335308,-21.2078,-159.775,84.2,79,4.61,20
1,Jurm,AF,1613335309,36.8648,70.8342,33.76,70,5.55,31
2,Alyangula,AU,1613335310,-13.8483,136.4192,80.6,89,4.61,98
3,Necochea,AR,1613335311,-38.5473,-58.7368,69.01,89,11.99,100
4,North Bend,US,1613335313,43.4065,-124.2243,50.0,81,6.91,90
5,Qaanaaq,GL,1613335314,77.484,-69.3632,7.93,91,1.12,100
6,Rikitea,PF,1613335315,-23.1203,-134.9692,80.38,76,16.35,45
7,Traverse City,US,1613335232,44.7631,-85.6206,10.4,67,12.66,90
8,Hermanus,ZA,1613335317,-34.4187,19.2345,63.0,93,1.01,80
9,Xai-Xai,MZ,1613335318,-25.0519,33.6442,77.16,91,10.58,100
10,Hilo,US,1613335319,19.7297,-155.09,75.2,73,3.44,90
11,Arraial do Cabo,BR,1613335321,-22.9661,-42.0278,84.2,65,6.91,75
12,New Norfolk,AU,1613335322,-42.7826,147.0587,57.99,71,2.08,100
13,Maniitsoq,GL,1613335323,65.4167,-52.9,3.49,85,12.53,56
14,Darnah,LY,1613335324,32.767,22.6367,56.73,80,19.19,100
15,Aktobe,KZ,1613335325,50.2797,57.2072,28.4,86,13.42,75
16,Albany,US,1613335214,42.6001,-73.9662,30.99,58,1.99,97
17,Barrow,US,1613335327,71.2906,-156.7887,-16.6,69,5.75,20
18,Hasaki,JP,1613335143,35.7333,140.8333,54.0,94,4.61,75
19,Ushuaia,AR,1613335153,-54.8,-68.3,55.4,41,5.75,75
20,Lagoa,PT,1613335331,39.05,-27.9833,58.39,77,39.97,74
21,Yellowknife,CA,1613335164,62.456,-114.3525,-2.99,84,16.11,1
22,Arroyo de la Encomienda,ES,1613335333,41.6096,-4.7969,50.0,76,6.91,0
23,Saint George,US,1613335261,37.1041,-113.5841,52.0,32,4.61,1
24,Merritt,CA,1613335335,50.1123,-120.7942,24.01,63,5.75,40
25,Hithadhoo,MV,1613335336,-0.6,73.0833,82.13,76,8.46,96
26,Severo-Kuril'sk,RU,1613335339,50.6789,156.125,23.99,92,9.89,70
27,Kaitangata,NZ,1613335340,-46.2817,169.8464,56.05,89,1.5,94
28,Pedro II,BR,1613335341,-4.4247,-41.4586,78.44,71,3.67,73
29,Mataura,NZ,1613335342,-46.1927,168.8643,57.0,86,10.0,97
30,Yerbogachën,RU,1613335344,61.2767,108.0108,-35.82,82,2.64,0
31,Bandarbeyla,SO,1613335345,9.4942,50.8122,74.14,75,9.08,8
32,Atuona,PF,1613335346,-9.8,-139.0333,78.89,73,12.15,1
33,Kānkānhalli,IN,1613335347,12.55,77.4167,65.98,64,3.78,91
34,Jamestown,US,1613335175,42.097,-79.2353,24.01,63,6.91,1
35,Busselton,AU,1613335350,-33.65,115.3333,68.0,93,7.11,11
36,Vanavara,RU,1613335351,60.34,102.2797,-32.98,82,3.29,0
37,Ponta do Sol,PT,1613335352,32.6667,-17.1,55.99,71,3.0,1
38,Tauá,BR,1613335353,-5.9667,-40.3,82.47,59,9.24,100
39,Kahramanmaraş Province,TR,1613335354,38.0,37.0,51.8,66,5.75,40
40,Tasiilaq,GL,1613335355,65.6145,-37.6368,32.0,86,3.44,90
41,Slave Lake,CA,1613335357,55.2834,-114.769,-4.0,59,20.71,40
42,Johi,PK,1613335358,26.6921,67.6133,62.51,32,0.11,16
43,Namatanai,PG,1613335359,-3.6667,152.4333,80.06,82,3.62,51
44,Thung Song,TH,1613335360,8.1645,99.6804,69.57,92,3.29,36
45,Talnakh,RU,1613335361,69.4865,88.3972,-25.71,84,5.97,94
46,Chokurdakh,RU,1613335362,70.6333,147.9167,-8.37,88,14.25,100
47,Stantsionno-Oyashinskiy,RU,1613335364,55.4664,83.8245,21.06,97,11.34,100
48,Port Alfred,ZA,1613335365,-33.5906,26.891,72.0,93,5.01,98
49,Praia da Vitória,PT,1613335241,38.7333,-27.0667,59.0,63,37.18,40
50,Hong Kong,HK,1613335210,22.2855,114.1577,64.0,90,5.41,0
51,Bredasdorp,ZA,1613335368,-34.5322,20.0403,64.4,77,18.41,22
52,Kahului,US,1613335369,20.8947,-156.47,78.8,65,3.44,20
53,Cayenne,GF,1613335370,4.9333,-52.3333,80.6,83,4.61,75
54,Marsá Maţrūḩ,EG,1613335372,31.3525,27.2453,53.6,62,4.61,0
55,Nouakchott,MR,1613335328,18.0858,-15.9785,73.4,46,8.05,0
56,São João da Barra,BR,1613335298,-21.6403,-41.0511,82.4,65,11.5,20
57,Salalah,OM,1613335375,17.0151,54.0924,71.6,64,4.61,0
58,Shatsk,RU,1613335377,54.0258,41.7119,-0.11,93,8.81,86
59,Fort Nelson,CA,1613335164,58.8053,-122.7002,-7.6,64,3.44,20
60,Thompson,CA,1613335379,55.7435,-97.8558,-4.0,71,11.5,90
61,Bluff,NZ,1613335381,-46.6,168.3333,57.0,86,10.0,19
62,Dikson,RU,1613335382,73.5069,80.5464,-18.17,88,13.76,100
63,Noumea,NC,1613335383,-22.2763,166.4572,79.0,88,2.3,0
64,Norman Wells,CA,1613335384,65.282,-126.8329,-23.8,76,5.75,75
65,Bengkulu,ID,1613335386,-3.8004,102.2655,75.9,88,4.72,45
66,Port Macquarie,AU,1613335387,-31.4333,152.9167,66.99,82,1.01,12
67,Fairbanks,US,1613335388,64.8378,-147.7164,7.0,69,0.09,1
68,Vaini,TO,1613335389,-21.2,-175.2,82.4,83,5.75,40
69,Lethem,GY,1613335390,3.3803,-59.7968,90.72,42,11.7,100
70,Provideniya,RU,1613335391,64.3833,-173.3,12.2,79,11.18,40
71,Jardim,BR,1613335393,-21.4803,-56.1381,82.02,80,2.15,66
72,Klaksvík,FO,1613335394,62.2266,-6.589,44.6,93,33.38,75
